(5) Chicago Cubs,97,65,0.599,3,49–32,48–33,2015
(2) Los Angeles Dodgers,92,70,0.568,—,55–26,37–44,2015
(3) Boston Red Sox,93,69,0.574,—,47–34,46–35,2016
(4) Toronto Blue Jays,89,73,0.549,4,46–35,43–38,2016
(5) Baltimore Orioles,89,73,0.549,4,50–31,39–42,2016
(2) Cleveland Indians,94,67,0.584,—,53–28,41–39,2016
(1) Texas Rangers,95,67,0.586,—,53–28,42–39,2016
(2) Washington Nationals,95,67,0.586,—,50–31,45–36,2016
(4) New York Mets,87,75,0.537,8,44–37,43–38,2016
(1) Chicago Cubs,103,58,0.640,—,57–24,46–34,2016
(3) Los Angeles Dodgers,91,71,0.562,—,53–28,38–43,2016
(5) San Francisco Giants,87,75,0.537,4,45–36,42–39,2016
